,¿Por qué quieres aprender Data Science?,¿Pagarías por una formación completa como data scientist?¿Cuánto?
0,Por necesidades y oportunidades laborales.,"Sí, menos de 500 dólares"
1,"Acabo de egresar de ingeniería civil informática pero a pesar de ello siento que tengo falencias en algunas áreas para explotar de buena manera mis habilidades, por ello siento que el programa que ofreces (aunque sea una fase beta)  es una excelente oportunidad para adquirir o reforzar conocimientos.","Sí, entre 500 a 1000 dólares"
2,Para actualizar mis conocimientos en informática,"Sí, menos de 500 dólares"
3,Me gusta mucho el tema. Además es un perfil que cada vez va creciendo,"Sí, menos de 500 dólares"
4,Quiero aprender este nuevo paradigma para proponer soluciones desde esta perspectiva ,"Sí, menos de 500 dólares"
5,Buscar nichos laborales,"Sí, más de 2000 dólares"
6,Para reforzar mi carrera,"Sí, menos de 500 dólares"
7,"Tome un curso presencisl de DS pero solo enseñaron R, nada de Python. Mucha PPT.....","Sí, menos de 500 dólares"
8,Para desarrollarme mejor como profesional y por que me gusta mucho esta área ,"Sí, menos de 500 dólares"
9,"Después de trabajar un par de años, deseo enfocar mi carrera profesional a la ingeniería de datos, espero encontrar alguna orientación al respecto ","Sí, menos de 500 dólares"
10,Para mi tesis ,"Sí, menos de 500 dólares"
11,Trabajo en un area de bi y quiero expander mis conocimientos sobre este mundo para aportar con nuevas ideas,"Sí, menos de 500 dólares"
12,Me gusta la econometría,"Sí, menos de 500 dólares"
13,Me interesa explorar otras materias,"Sí, menos de 500 dólares"
14,"Trabajo en ti en una clínica y una universidad, siento que pronto de viene DS con todo y quiero estar un poco listo que sea. En paralelo estoy tomando un curso de big data en coursera.","Sí, entre 1000 a 1500 dólares"
15,Por una meta de desarrollo profesional e intelectual.,"Sí, menos de 500 dólares"
16,Para aprender nuevas maneras de trabajar con los datos y extraer el máximo de información posible.,"Sí, menos de 500 dólares"
17,Como alternativa a la academia (soy astrofísico),"Sí, menos de 500 dólares"
18,Para posicionarme mejor en mi trabajo,"Sí, entre 1500 a 2000 dólares"
19,Me. Gusta el. Área de los datos ,"Sí, menos de 500 dólares"
20,Quiero potenciar mi carrera TI,"Sí, entre 500 a 1000 dólares"
21,Para buscar nuevas oportunidades laborales,No
22,he trabajo con él en mi Universidad y realmente es un tema interesante y con mucho potencial pero solo realizar analisis estadisticos en R,"Sí, menos de 500 dólares"
23,Mejora continua,No
24,Estoy haciendo un curso online y uno presencial y quiero continuar aprendiendo,"Sí, menos de 500 dólares"
